country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
FRA,0.443569375966276,0.236462708593484,0.433532284319045,0.49056603773585,0.49056603773585,0.409207161125319,-0.169469462980149,0.430469633435981,0.430469633435981,0.430367857992744,0.438166629951278,0.357704083299264,-0.420873985752799,0.512445913323483,0.627069738080162,0.417967941944393
FSM,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,-0.298916210231908,0.457381837493361,0.201790424225305,0.40573790916418
GBR,0.532370419375224,0.34695813315226,0.34695813315226,0.486525446974285,0.347559712315387,0.170067672108061,0.0620093136027839,0.396268266810399,0.396268266810399,0.358058840495253,0.486842105263158,0.257999115227154,0.383668677735683,0.443055770316441,0.384765112339032,0.155555555555556
GMB,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.569105691056911,0.223004694835681,0.223004694835681,0.223004694835681
GNB,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896,0.718845500848896
GRC,0.415335076751811,0.247739153545753,0.350752312348152,0.350752312348152,0.350752312348152,0.350752312348152,0.350752312348152,0.350752312348152,0.350752312348152,0.350752312348152,0.505050505050505,0.505050505050505,0.265081667649239,0.265081667649239,0.56049822064057,0.56049822064057
GTM,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937,0.495575221238937
HRV,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.628815990966678,0.63943855173783,0.461285008237233,0.461285008237233
HUN,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.276964962723595,0.470612148763797,0.711725912614496,0.519564120511975,0.227272727272727
IDN,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689,0.423670668953689
IND,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.502995935050477,0.115151515151515,0.115151515151515
IRL,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.0675675675675675,-0.224719101123595,0.593288590604027,0.331360946745562,0.331360946745562,0.191082802547771
IRN,0.353535353535354,0.557974406415725,0.457545552400729,0.453718673905895,0.41022420546385,0.621458547778332,0.346188578882223,0.465871663627792,0.465871663627792,0.45941851907426,0.571989809633497,0.358577386574055,-0.293947914673105,0.451117446493161,0.451117446493161,-0.542376897281479
IRQ,0.50703191361474,0.50703191361474,0.50703191361474,0.50703191361474,0.50703191361474,0.50703191361474,0.50703191361474,0.0588066819075419,0.0588066819075419,0.0588066819075419,0.62881179024362,0.374568866406071,0.238301559792028,0.238301559792028,0.238301559792028,0.238301559792028
ISR,0.23463687150838,0.486399980593075,0.510932672312936,0.494677476939663,0.415300546448087,0.415300546448087,0.320836589363812,0.215126104833749,0.215126104833749,0.256258224778578,0.709870916032038,0.292080779447598,0.292080779447598,0.506329113924051,0.488619978101403,0.388582037853966
ITA,0.428901478143013,-0.359753016894879,0.143029544540294,-0.483870967741935,0.493888203067111,0.725806451612903,0.725806451612903,0.526304847839071,0.526304847839071,0.555075021288256,0.555075021288256,0.555075021288256,0.633222608082944,0.3928594102899,0.37597532501056,0.37597532501056
JOR,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.5814696485623,0.755395683453237,0.623853211009175
JPN,0.386338314536118,0.386338314536118,0.386338314536118,0.386338314536118,0.386338314536118,0,0.230738602428827,0.230738602428827,0.230738602428827,0.230738602428827,0.190136660724896,0.190136660724896,0.340732932861637,0.731153496821072,0.731153496821072,0.731153496821072
KAZ,0.24170724391943,0.546691112445715,0.433070866141733,0.387982285983643,0.387982285983643,0.428202418757968,0.443982765260646,-0.375225853782263,-0.375225853782263,0.331614232820687,0.509366129601882,0.536679206223764,0.536679206223764,0.358625117103786,0.12689436451447,0.12689436451447
KGZ,0.655449327564765,0.655449327564765,0.655449327564765,0.243163340724316,0.243163340724316,0.243163340724316,0.243163340724316,0.206073752711497,0.206073752711497,0.206073752711497,0.206073752711497,0.206073752711497,0.206073752711497,0.537011193073396,0.634300899199701,0.520939526159116
KOR,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905,0.492497424799905
KWT,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.36697247706422,0.545364919083325,0.545364919083325,0.545364919083325,0.545364919083325
LBN,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.588866926248188,0.628205128205128
LBY,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.0824204486176319,0.551931761164074
LTU,-0.441095890410959,-0.441095890410959,0.546086895509155,0.682926829268293,0.669014084507042,0.489523037537063,0.288539894774319,0.652005099352677,0.652005099352677,0.445398693805068,0.482204284570103,-0.202088500693257,0.435487519804307,0.329769209992343,0.400637107051642,0.379793156345444
LUX,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.224401120576296,0.458390177353342,0.458390177353342
LVA,0.411786155738963,0.411786155738963,0.411786155738963,0.411786155738963,0.329750355476823,0.708860759493671,0.708860759493671,0.708860759493671,0.708860759493671,0.538436050364479,0.254350028064697,0.621392742659911,0.34225369986041,0.63129973474801,0.547610361182049,0.332237742505608
MAR,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802,0.505500652619802
MCO,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437,0.319327731092437
MDA,0.70583266412557,0.577750460971113,-0.612244897959183,-0.612244897959183,-0.612244897959183,0.439304009448544,0.703245749613601,0.703245749613601,0.703245749613601,0.451194298389898,0.662800331400166,-0.458333333333333,-0.458333333333333,0.431623279785834,0.294163767334738,0.573153572597587
MEX,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012,0.551867219917012
MLT,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773,0.495103373231773
MMR,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555,-0.688017134980555
MYS,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,-0.598802395209581,0.375378501135503
