country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
TKM,4.77485657496499,0,14.6139876405108,0,0,0,0,7.37451737451737,0,0,41.578128301162,0,0,0,0,20.8241411913016
TUR,15.2149675135142,28.7567596240862,21.6802339522711,19.8670190754081,17.0717393066589,52.9411764705882,19.8096040403271,37.3783488799004,17.1904761912,44.2397134254833,31.2253308781961,25.3153010458756,13.3352813389947,24.6153846153846,72.9164273023919,22.7166117316596
UKR,24.0531391136919,-5.3549263394468,19.111298109894,5.14782157676348,17.5700934579439,21.4073840286854,31.463149528449,-3.53070454043304,85.33333336,27.7876335989868,26.687587617907,18.674625006675,19.9905826946552,12.4550297313279,17.9286175710594,36.6935483870968
USA,21.1923307095852,34.5338936883575,32.5158603447867,16.2576613370409,36.7567567567568,16.7882129405435,16.6238845713062,6.4207650273224,15.3287804045857,8.7,23.3206106870229,4.95091746320467,17.854020979021,25.695488529776,20.8092485549133,22.0044214792795
UZB,17.2590795376121,-15.7843137254902,-0.45172219085262,0,0,0,31.0839080967931,36.4272700357285,17.0166309554667,0,0,-25.7220216606498,0,9.35672514619884,0,0
WST,21.5967341876808,47.8893740902475,-2.13330213330213,7.392578125,40.4255319148936,48.695652173913,13.6152349179872,23.5643564356436,19.2163446328,22.759183927583,13.7142857142857,-5.79710144927536,14.8710191008988,24.2908855864304,17.1755303690787,15.4605263157895
CAN,0,50.3496503496503,0,0,0,0,47.3958333333333,0,0,0,0,28.2245737801293,-2.40469858156028,18.0287089144442,0,18.1838474025974
CAS,0,15.6785827808555,18.9622419178733,0,18.2752170008979,32.2363301823322,4.46275870406063,0,7.816091955,11.9341037050966,0,15.02744564952,0,0,0,0
CZE,0,8.761102733273,15.2777777777778,0,14.3884892086331,21.8592528236316,0,0,0,0,26.997476427391,0,16.1153395759129,24.3978722929717,35.6377830194844,-10.1740855325734
DEU,0,-90.1523388272499,40.5424126172208,43.0769230769231,11.70606510568,8.46130823768684,34.263565891473,7.83333333333333,0,30.027020388111,5.12820512820512,2.147930784987,26.4150943396227,43.4152900606263,12.6093457943925,-17.8179335722446
IRQ,0,21.1436145519885,0,0,0,0,18.7114969359594,-1.9469097305509,0,0,22.5765768389953,15.5043248507782,17.2747831862568,48.608896856243,16.0030895574361,0
LTU,0,40.6687151176747,9.30669398907103,11.856592123989,21.7172720370956,19.2365504229543,21.086566091954,8.55639441775336,10.256410256,22.4689436071255,8.18407960199006,29.7261710235475,-10.4553466715961,9.8302967204581,34.14307431773,11.7594198227777
POL,0,8.30590767884171,0.871185430104632,23.3735380116959,29.4743053182635,24.8398168678585,15.2694610778443,16.3934426229508,0,45.7286432160804,39.3120393120393,0.0138627625608772,-9.46745562130178,21.0952581376816,4.85080264428961,33.1707317073171
PRK,0,33.2780203784571,0,15.850147022022,0,0,0,0,0,0,0,0,0,0,0,0
SWE,0,28.6501377410468,0,0,0,0,0,0,0,21.5381533664482,0,35.5197707843706,45.0404040404041,59.2857142857143,19.7675261861446,41.3914671983055
AUS,0,0,16.7442253137275,0,0,0,0,0,0,0,0,4.46243814664866,0,0,25.506072874494,0
AUT,0,0,9.53941102441479,16.288856225388,0,0,0,12.6322525649361,25.246614573675,16.0351108800698,26.4940386880274,34.4855305466238,0,0,16.4912280701754,0
BLR,0,0,13.7763849690687,19.7692912247108,12.9223520092462,0,12.7899358228757,19.7116686579052,10.5192886272214,8.34729487574387,0,0,11.9084095214562,10.6291806020067,24.9683374539014,18.1818181818182
EGY,0,0,44.6808510638298,0,0,0,0,0,0,0,0,0,21.9793967817978,17.0635143494503,-11.0516934046346,38.9513108614232
IND,0,0,29.0277779198298,0,0,0,0,0,0,0,0,0,0,0,0,31.6121948626222
JOR,0,0,24.2928282822248,0,0,0,0,0,0,0,8.39285714285714,0,0,0,10.3159870430409,33.7931034482759
JPN,0,0,13.5342349254519,0,0,0,0,0,32.0107289117067,0,5.68728283435056,0,17.9665019593294,54.3918918918919,11.8965274105412,24.6360582306831
LUX,0,0,17.8458528175888,0,0,0,0,0,0,0,0,0,0,14.7781426633455,0,0
NLD,0,0,12.6984126984127,0,0,0,21.6904979800776,41.1619604024668,0,0,0,0,4.18840579710144,0,61.764705882353,0
VAT,0,0,20.9859872596999,0,0,0,0,0,0,0,0,0,51.9504348354923,38.5826771653543,0,0
